epoch,loss,acc,,,,
1,4.298859304602042,0.000432713,,,,
2,4.098618942986494,0.002596279,,,,
3,3.8996759278219453,0.001730852,,,,
4,3.8192210129971773,0.002596279,,,,
5,3.7403691692172356,0.007788836,,,,
epoch,loss,acc,,,,
1,4.309801270376961,0.000432713,,,,
2,4.062082524569529,0.001298139,,,,
3,3.8804943404107726,0.003461705,,,,
4,3.8075629795122445,0.003461705,,,,
5,3.7132190106050023,0.007788836,,,,
6,3.5944205634998827,0.019039376893119863,,,,
7,3.4481722146460094,0.033318909562959756,,,,
8,3.312195381278512,0.050194720900043274,,,,
9,3.1749452539959795,0.087840762,,,,
10,3.019958517836325,0.10644742535698831,,,,
epoch,loss,acc,,,,
1,4.296334959426016,0.000432713,,,,
2,4.016231964219291,0.001730852,,,,
3,3.854955386815581,0.003461705,,,,
4,3.787530831570895,0.003894418,,,,
5,3.688132364045149,0.007356123,,,,
6,3.5728248357772827,0.016443098225876245,,,,
7,3.4248542260823758,0.03894418,,,,
8,3.2767439983175985,0.056252704456945045,,,,
9,3.1254184590945453,0.096495024,,,,
10,2.9749174860288514,0.11769796624837732,,,,
11,2.8113142911743068,0.17265253137170056,,,,
12,2.633217923671195,0.22068368671570748,,,,
13,2.4613033323168003,0.2803980960623107,,,,
14,2.289441283393956,0.3284292514063176,,,,
15,2.1200283061033525,0.3470359151882302,,,,
16,1.954195872417786,0.39679792297706623,,,,
17,1.7934996950551398,0.3717005625270446,,,,
18,1.6337709753018506,0.4465599307659022,,,,
19,1.491390145049905,0.4725227174383384,,,,
20,1.3585417791732453,0.47598442232799654,,,,
21,1.2468939444179055,0.5075724794461273,,,,
22,1.1302407172116093,0.5253137170056252,,,,
23,1.0366103279890504,0.5205538727823453,,,,
24,0.9494158365066696,0.540891389,,,,
25,0.8881737484871967,0.5369969710082215,,,,
26,0.8250508784498058,0.5720467330160104,,,,
27,0.7548364383994408,0.5629597576806578,,,,
28,0.7183609632013729,0.5638251839030722,,,,
29,0.6605637811077466,0.581133708,,,,
30,0.630366492,0.5832972739073994,,,,
